资源键名	Resources模式资源名	所在assetBundle名称	所在assetBundle资源名
BattleDlg	PackAssets/UI_Prefab/BattleDlg	ui_prefab	BattleDlg
CreateDlg	PackAssets/UI_Prefab/CreateDlg	ui_prefab	CreateDlg
ChangeShapeDlg	PackAssets/UI_Prefab/ChangeShapeDlg	ui_prefab	ChangeShapeDlg
ChangeNameDlg	PackAssets/UI_Prefab/ChangeNameDlg	ui_prefab	ChangeNameDlg
ChatDlg	PackAssets/UI_Prefab/ChatDlg	ui_prefab	ChatDlg
CityGuardDlg	PackAssets/UI_Prefab/CityGuardDlg	ui_prefab	CityGuardDlg
CityTechDlg	PackAssets/UI_Prefab/CityTechDlg	ui_prefab	CityTechDlg
CityTechTreeDlg	PackAssets/UI_Prefab/CityTechTreeDlg	ui_prefab	CityTechTreeDlg
EquipForgingDlg	PackAssets/UI_Prefab/EquipForgingDlg	ui_prefab	EquipForgingDlg
EquipWashDlg	PackAssets/UI_Prefab/EquipWashDlg	ui_prefab	EquipWashDlg
GovInfoDlg	PackAssets/UI_Prefab/GovInfoDlg	ui_prefab	GovInfoDlg
HeroDlg	PackAssets/UI_Prefab/HeroDlg	ui_prefab	HeroDlg
HeroInfoDlg	PackAssets/UI_Prefab/HeroInfoDlg	ui_prefab	HeroInfoDlg
HeroListDlg	PackAssets/UI_Prefab/HeroListDlg	ui_prefab	HeroListDlg
HeroGetDlg	PackAssets/UI_Prefab/HeroGetDlg	ui_prefab	HeroGetDlg
HeroTalkDlg	PackAssets/UI_Prefab/HeroTalkDlg	ui_prefab	HeroTalkDlg
HeroExpDlg	PackAssets/UI_Prefab/HeroExpDlg	ui_prefab	HeroExpDlg
HeroReplaceDlg	PackAssets/UI_Prefab/HeroReplaceDlg	ui_prefab	HeroReplaceDlg
HeroWashDlg	PackAssets/UI_Prefab/HeroWashDlg	ui_prefab	HeroWashDlg
HeroColorupDlg	PackAssets/UI_Prefab/HeroColorupDlg	ui_prefab	HeroColorupDlg
ItemGetDlg	PackAssets/UI_Prefab/ItemGetDlg	ui_prefab	ItemGetDlg
ItemUseDlg	PackAssets/UI_Prefab/ItemUseDlg	ui_prefab	ItemUseDlg
ItemUseExDlg	PackAssets/UI_Prefab/ItemUseExDlg	ui_prefab	ItemUseExDlg
JumpDlg	PackAssets/UI_Prefab/JumpDlg	ui_prefab	JumpDlg
LevyDlg	PackAssets/UI_Prefab/LevyDlg	ui_prefab	LevyDlg
MainDlg	PackAssets/UI_Prefab/MainDlg	ui_prefab	MainDlg
MsgBoxDlg	PackAssets/UI_Prefab/MsgBoxDlg	ui_prefab	MsgBoxDlg
MsgBoxExDlg	PackAssets/UI_Prefab/MsgBoxExDlg	ui_prefab	MsgBoxExDlg
MaterialGetDlg	PackAssets/UI_Prefab/MaterialGetDlg	ui_prefab	MaterialGetDlg
MaterialMakeDlg	PackAssets/UI_Prefab/MaterialMakeDlg	ui_prefab	MaterialMakeDlg
MaterialMakeWillDlg	PackAssets/UI_Prefab/MaterialMakeWillDlg	ui_prefab	MaterialMakeWillDlg
MapMainDlg	PackAssets/UI_Prefab/MapMainDlg	ui_prefab	MapMainDlg
MapPosDlg	PackAssets/UI_Prefab/MapPosDlg	ui_prefab	MapPosDlg
MapBattleDlg	PackAssets/UI_Prefab/MapBattleDlg	ui_prefab	MapBattleDlg
MapCityDlg	PackAssets/UI_Prefab/MapCityDlg	ui_prefab	MapCityDlg
MapCityFightDlg	PackAssets/UI_Prefab/MapCityFightDlg	ui_prefab	MapCityFightDlg
MapCityHelpDlg	PackAssets/UI_Prefab/MapCityHelpDlg	ui_prefab	MapCityHelpDlg
MapEnemyDlg	PackAssets/UI_Prefab/MapEnemyDlg	ui_prefab	MapEnemyDlg
MapResDlg	PackAssets/UI_Prefab/MapResDlg	ui_prefab	MapResDlg
MapEventDlg	PackAssets/UI_Prefab/MapEventDlg	ui_prefab	MapEventDlg
MapZoneDlg	PackAssets/UI_Prefab/MapZoneDlg	ui_prefab	MapZoneDlg
MapGlobalDlg	PackAssets/UI_Prefab/MapGlobalDlg	ui_prefab	MapGlobalDlg
MailDlg	PackAssets/UI_Prefab/MailDlg	ui_prefab	MailDlg
MailInfoDlg	PackAssets/UI_Prefab/MailInfoDlg	ui_prefab	MailInfoDlg
MailSendDlg	PackAssets/UI_Prefab/MailSendDlg	ui_prefab	MailSendDlg
NpcTalkDlg	PackAssets/UI_Prefab/NpcTalkDlg	ui_prefab	NpcTalkDlg
NpcTalkOneDlg	PackAssets/UI_Prefab/NpcTalkOneDlg	ui_prefab	NpcTalkOneDlg
OfficialHireDlg	PackAssets/UI_Prefab/OfficialHireDlg	ui_prefab	OfficialHireDlg
QuestAwardDlg	PackAssets/UI_Prefab/QuestAwardDlg	ui_prefab	QuestAwardDlg
QuickItemDlg	PackAssets/UI_Prefab/QuickItemDlg	ui_prefab	QuickItemDlg
TrainDlg	PackAssets/UI_Prefab/TrainDlg	ui_prefab	TrainDlg
PlayerDlg	PackAssets/UI_Prefab/PlayerDlg	ui_prefab	PlayerDlg
StoreDlg	PackAssets/UI_Prefab/StoreDlg	ui_prefab	StoreDlg
StoryDlg	PackAssets/UI_Prefab/StoryDlg	ui_prefab	StoryDlg
UIF_Damage	PackAssets/UI_Prefab/UIFX/UIF_Damage	ui_prefab	UIF_Damage
UIF_PopText	PackAssets/UI_Prefab/UIFX/UIF_PopText	ui_prefab	UIF_PopText
UIF_Notify	PackAssets/UI_Prefab/UIFX/UIF_Notify	ui_prefab	UIF_Notify
UIF_MapZoneTips	PackAssets/UI_Prefab/UIFX/UIF_MapZoneTips	ui_prefab	UIF_MapZoneTips
TmxMap	PackAssets/Tiled2Unity/Prefabs/worldmap	tiled2unity_prefabs	worldmap
WorldMapRoot	PackAssets/MapPrefab/WorldMapRoot	ab_mapprefab	WorldMapRoot
MapUnitCity	PackAssets/MapPrefab/MapUnitCity	ab_mapprefab	MapUnitCity
MapUnitTown	PackAssets/MapPrefab/MapUnitTown	ab_mapprefab	MapUnitTown
MapUnitArmy	PackAssets/MapPrefab/MapUnitArmy	ab_mapprefab	MapUnitArmy
MapUnitEnemy	PackAssets/MapPrefab/MapUnitEnemy	ab_mapprefab	MapUnitEnemy
MapUnitRes	PackAssets/MapPrefab/MapUnitRes	ab_mapprefab	MapUnitRes
MapUnitEvent	PackAssets/MapPrefab/MapUnitEvent	ab_mapprefab	MapUnitEvent
MapBorder	PackAssets/MapPrefab/MapBorder	ab_mapprefab	MapBorder
MapTownRange	PackAssets/MapPrefab/MapTownRange	ab_mapprefab	MapTownRange
MarchRoute	PackAssets/MapPrefab/MarchRoute	ab_mapprefab	MarchRoute
WorldMapThumb	PackAssets/MapPrefab/WorldMapThumb	ab_mapprefab	WorldMapThumb
ThumbClickEffect	PackAssets/MapPrefab/ThumbClickEffect	ab_mapprefab	ThumbClickEffect
Character	PackAssets/Character/Char_Res/Character	char_res	Character
