资源键名	Resources模式资源名	所在assetBundle名称	所在assetBundle资源名
BUILDING_Silver	Assets/PackAssets/MainCityPrefab/BUILDING_Silver.prefab	maincityprefab	BUILDING_Silver
BUILDING_Wood	Assets/PackAssets/MainCityPrefab/BUILDING_Wood.prefab	maincityprefab	BUILDING_Wood
BUILDING_Food	Assets/PackAssets/MainCityPrefab/BUILDING_Food.prefab	maincityprefab	BUILDING_Food
BUILDING_Iron	Assets/PackAssets/MainCityPrefab/BUILDING_Iron.prefab	maincityprefab	BUILDING_Iron
BUILDING_Smithy	Assets/PackAssets/MainCityPrefab/BUILDING_Smithy.prefab	maincityprefab	BUILDING_Smithy
BUILDING_Wash	Assets/PackAssets/MainCityPrefab/BUILDING_Wash.prefab	maincityprefab	BUILDING_Wash
BUILDING_Fangshi	Assets/PackAssets/MainCityPrefab/BUILDING_Fangshi.prefab	maincityprefab	BUILDING_Fangshi
BUILDING_Shop	Assets/PackAssets/MainCityPrefab/BUILDING_Shop.prefab	maincityprefab	BUILDING_Shop
BUILDING_Hero	Assets/PackAssets/MainCityPrefab/BUILDING_Hero.prefab	maincityprefab	BUILDING_Hero
BUILDING_Wishing	Assets/PackAssets/MainCityPrefab/BUILDING_Wishing.prefab	maincityprefab	BUILDING_Wishing
BUILDING_Help	Assets/PackAssets/MainCityPrefab/BUILDING_Help.prefab	maincityprefab	BUILDING_Help
UIP_Loading	Assets/PackAssets/UI_Prefab/UIPart/UIP_Loading.prefab	ui_prefab	UIP_Loading
DialogFrameMod	Assets/PackAssets/UI_Prefab/DialogFrameMod.prefab	ui_prefab	DialogFrameMod
ActivityDlg	Assets/PackAssets/UI_Prefab/ActivityDlg.prefab	ui_prefab	ActivityDlg
AwardGainDlg	Assets/PackAssets/UI_Prefab/AwardGainDlg.prefab	ui_prefab	AwardGainDlg
AwardNotifyDlg	Assets/PackAssets/UI_Prefab/AwardNotifyDlg.prefab	ui_prefab	AwardNotifyDlg
AlertDlg	Assets/PackAssets/UI_Prefab/AlertDlg.prefab	ui_prefab	AlertDlg
ActorSearchDlg	Assets/PackAssets/UI_Prefab/ActorSearchDlg.prefab	ui_prefab	ActorSearchDlg
BagDlg	Assets/PackAssets/UI_Prefab/BagDlg.prefab	ui_prefab	BagDlg
BuildingGetDlg	Assets/PackAssets/UI_Prefab/BuildingGetDlg.prefab	ui_prefab	BuildingGetDlg
BuildingCreateDlg	Assets/PackAssets/UI_Prefab/BuildingCreateDlg.prefab	ui_prefab	BuildingCreateDlg
BuildingUpgradeDlg	Assets/PackAssets/UI_Prefab/BuildingUpgradeDlg.prefab	ui_prefab	BuildingUpgradeDlg
BuyWorkerDlg	Assets/PackAssets/UI_Prefab/BuyWorkerDlg.prefab	ui_prefab	BuyWorkerDlg
BattleDlg	Assets/PackAssets/UI_Prefab/BattleDlg.prefab	ui_prefab	BattleDlg
BlackListDlg	Assets/PackAssets/UI_Prefab/BlackListDlg.prefab	ui_prefab	BlackListDlg
BloodyBattleDlg	Assets/PackAssets/UI_Prefab/BloodyBattleDlg.prefab	ui_prefab	BloodyBattleDlg
CreateDlg	Assets/PackAssets/UI_Prefab/CreateDlg.prefab	ui_prefab	CreateDlg
ChangeShapeDlg	Assets/PackAssets/UI_Prefab/ChangeShapeDlg.prefab	ui_prefab	ChangeShapeDlg
ChangeNameDlg	Assets/PackAssets/UI_Prefab/ChangeNameDlg.prefab	ui_prefab	ChangeNameDlg
ChatDlg	Assets/PackAssets/UI_Prefab/ChatDlg.prefab	ui_prefab	ChatDlg
CityArmyHelpDlg	Assets/PackAssets/UI_Prefab/CityArmyHelpDlg.prefab	ui_prefab	CityArmyHelpDlg
CityGuardDlg	Assets/PackAssets/UI_Prefab/CityGuardDlg.prefab	ui_prefab	CityGuardDlg
CityTechDlg	Assets/PackAssets/UI_Prefab/CityTechDlg.prefab	ui_prefab	CityTechDlg
CityTechTreeDlg	Assets/PackAssets/UI_Prefab/CityTechTreeDlg.prefab	ui_prefab	CityTechTreeDlg
CabinetDlg	Assets/PackAssets/UI_Prefab/CabinetDlg.prefab	ui_prefab	CabinetDlg
EquipDlg	Assets/PackAssets/UI_Prefab/EquipDlg.prefab	ui_prefab	EquipDlg
EquipForgingDlg	Assets/PackAssets/UI_Prefab/EquipForgingDlg.prefab	ui_prefab	EquipForgingDlg
EquipWashDlg	Assets/PackAssets/UI_Prefab/EquipWashDlg.prefab	ui_prefab	EquipWashDlg
FangshiDlg	Assets/PackAssets/UI_Prefab/FangshiDlg.prefab	ui_prefab	FangshiDlg
FightInfoDlg	Assets/PackAssets/UI_Prefab/FightInfoDlg.prefab	ui_prefab	FightInfoDlg
FightDlg	Assets/PackAssets/UI_Prefab/FightDlg.prefab	ui_prefab	FightDlg
FriendDlg	Assets/PackAssets/UI_Prefab/FriendDlg.prefab	ui_prefab	FriendDlg
FilmDlg	Assets/PackAssets/UI_Prefab/FilmDlg.prefab	ui_prefab	FilmDlg
GirlGetDlg	Assets/PackAssets/UI_Prefab/GirlGetDlg.prefab	ui_prefab	GirlGetDlg
GirlDlg	Assets/PackAssets/UI_Prefab/GirlDlg.prefab	ui_prefab	GirlDlg
GirlSelectHeroDlg	Assets/PackAssets/UI_Prefab/GirlSelectHeroDlg.prefab	ui_prefab	GirlSelectHeroDlg
GirlShopDlg	Assets/PackAssets/UI_Prefab/GirlShopDlg.prefab	ui_prefab	GirlShopDlg
GovInfoDlg	Assets/PackAssets/UI_Prefab/GovInfoDlg.prefab	ui_prefab	GovInfoDlg
GuideDlg	Assets/PackAssets/UI_Prefab/GuideDlg.prefab	ui_prefab	GuideDlg
HeroOffspringDlg	Assets/PackAssets/UI_Prefab/HeroOffspringDlg.prefab	ui_prefab	HeroOffspringDlg
HeroDlg	Assets/PackAssets/UI_Prefab/HeroDlg.prefab	ui_prefab	HeroDlg
HeroGatherDlg	Assets/PackAssets/UI_Prefab/HeroGatherDlg.prefab	ui_prefab	HeroGatherDlg
HeroGuardDlg	Assets/PackAssets/UI_Prefab/HeroGuardDlg.prefab	ui_prefab	HeroGuardDlg
HeroGodDlg	Assets/PackAssets/UI_Prefab/HeroGodDlg.prefab	ui_prefab	HeroGodDlg
HeroInfoDlg	Assets/PackAssets/UI_Prefab/HeroInfoDlg.prefab	ui_prefab	HeroInfoDlg
HeroConfigDlg	Assets/PackAssets/UI_Prefab/HeroConfigDlg.prefab	ui_prefab	HeroConfigDlg
HeroListDlg	Assets/PackAssets/UI_Prefab/HeroListDlg.prefab	ui_prefab	HeroListDlg
HeroGetDlg	Assets/PackAssets/UI_Prefab/HeroGetDlg.prefab	ui_prefab	HeroGetDlg
HeroTalkDlg	Assets/PackAssets/UI_Prefab/HeroTalkDlg.prefab	ui_prefab	HeroTalkDlg
HeroExpDlg	Assets/PackAssets/UI_Prefab/HeroExpDlg.prefab	ui_prefab	HeroExpDlg
HeroReplaceDlg	Assets/PackAssets/UI_Prefab/HeroReplaceDlg.prefab	ui_prefab	HeroReplaceDlg
HeroWashDlg	Assets/PackAssets/UI_Prefab/HeroWashDlg.prefab	ui_prefab	HeroWashDlg
HeroColorupDlg	Assets/PackAssets/UI_Prefab/HeroColorupDlg.prefab	ui_prefab	HeroColorupDlg
HeroLevyDlg	Assets/PackAssets/UI_Prefab/HeroLevyDlg.prefab	ui_prefab	HeroLevyDlg
HeroVisitDlg	Assets/PackAssets/UI_Prefab/HeroVisitDlg.prefab	ui_prefab	HeroVisitDlg
HelpDlg	Assets/PackAssets/UI_Prefab/HelpDlg.prefab	ui_prefab	HelpDlg
ItemGetDlg	Assets/PackAssets/UI_Prefab/ItemGetDlg.prefab	ui_prefab	ItemGetDlg
ItemUseDlg	Assets/PackAssets/UI_Prefab/ItemUseDlg.prefab	ui_prefab	ItemUseDlg
ItemUseExDlg	Assets/PackAssets/UI_Prefab/ItemUseExDlg.prefab	ui_prefab	ItemUseExDlg
JumpDlg	Assets/PackAssets/UI_Prefab/JumpDlg.prefab	ui_prefab	JumpDlg
KingWarRankDlg	Assets/PackAssets/UI_Prefab/KingWarRankDlg.prefab	ui_prefab	KingWarRankDlg
KingWarChangeDlg	Assets/PackAssets/UI_Prefab/KingWarChangeDlg.prefab	ui_prefab	KingWarChangeDlg
LevyDlg	Assets/PackAssets/UI_Prefab/LevyDlg.prefab	ui_prefab	LevyDlg
LostRebuildDlg	Assets/PackAssets/UI_Prefab/LostRebuildDlg.prefab	ui_prefab	LostRebuildDlg
MainDlg	Assets/PackAssets/UI_Prefab/MainDlg.prefab	ui_prefab	MainDlg
MsgBoxDlg	Assets/PackAssets/UI_Prefab/MsgBoxDlg.prefab	ui_prefab	MsgBoxDlg
MsgBoxExDlg	Assets/PackAssets/UI_Prefab/MsgBoxExDlg.prefab	ui_prefab	MsgBoxExDlg
MaterialGetDlg	Assets/PackAssets/UI_Prefab/MaterialGetDlg.prefab	ui_prefab	MaterialGetDlg
MaterialMakeDlg	Assets/PackAssets/UI_Prefab/MaterialMakeDlg.prefab	ui_prefab	MaterialMakeDlg
MaterialMakeWillDlg	Assets/PackAssets/UI_Prefab/MaterialMakeWillDlg.prefab	ui_prefab	MaterialMakeWillDlg
MapArmyGroupDlg	Assets/PackAssets/UI_Prefab/MapArmyGroupDlg.prefab	ui_prefab	MapArmyGroupDlg
MapNationFightDlg	Assets/PackAssets/UI_Prefab/MapNationFightDlg.prefab	ui_prefab	MapNationFightDlg
MapMainDlg	Assets/PackAssets/UI_Prefab/MapMainDlg.prefab	ui_prefab	MapMainDlg
MapPosDlg	Assets/PackAssets/UI_Prefab/MapPosDlg.prefab	ui_prefab	MapPosDlg
MapBattleDlg	Assets/PackAssets/UI_Prefab/MapBattleDlg.prefab	ui_prefab	MapBattleDlg
MapCityDlg	Assets/PackAssets/UI_Prefab/MapCityDlg.prefab	ui_prefab	MapCityDlg
MapCityFightDlg	Assets/PackAssets/UI_Prefab/MapCityFightDlg.prefab	ui_prefab	MapCityFightDlg
MapCityHelpDlg	Assets/PackAssets/UI_Prefab/MapCityHelpDlg.prefab	ui_prefab	MapCityHelpDlg
MapTownDlg	Assets/PackAssets/UI_Prefab/MapTownDlg.prefab	ui_prefab	MapTownDlg
MapTownExDlg	Assets/PackAssets/UI_Prefab/MapTownExDlg.prefab	ui_prefab	MapTownExDlg
MapEnemyDlg	Assets/PackAssets/UI_Prefab/MapEnemyDlg.prefab	ui_prefab	MapEnemyDlg
MapResDlg	Assets/PackAssets/UI_Prefab/MapResDlg.prefab	ui_prefab	MapResDlg
MapEventDlg	Assets/PackAssets/UI_Prefab/MapEventDlg.prefab	ui_prefab	MapEventDlg
MapNationHeroDlg	Assets/PackAssets/UI_Prefab/MapNationHeroDlg.prefab	ui_prefab	MapNationHeroDlg
MapZoneDlg	Assets/PackAssets/UI_Prefab/MapZoneDlg.prefab	ui_prefab	MapZoneDlg
MapCallDlg	Assets/PackAssets/UI_Prefab/MapCallDlg.prefab	ui_prefab	MapCallDlg
MapGlobalDlg	Assets/PackAssets/UI_Prefab/MapGlobalDlg.prefab	ui_prefab	MapGlobalDlg
MailDlg	Assets/PackAssets/UI_Prefab/MailDlg.prefab	ui_prefab	MailDlg
MailInfoDlg	Assets/PackAssets/UI_Prefab/MailInfoDlg.prefab	ui_prefab	MailInfoDlg
MailSendDlg	Assets/PackAssets/UI_Prefab/MailSendDlg.prefab	ui_prefab	MailSendDlg
NpcTalkDlg	Assets/PackAssets/UI_Prefab/NpcTalkDlg.prefab	ui_prefab	NpcTalkDlg
NpcTalkOneDlg	Assets/PackAssets/UI_Prefab/NpcTalkOneDlg.prefab	ui_prefab	NpcTalkOneDlg
NpcAlertDlg	Assets/PackAssets/UI_Prefab/NpcAlertDlg.prefab	ui_prefab	NpcAlertDlg
NationEquipDlg	Assets/PackAssets/UI_Prefab/NationEquipDlg.prefab	ui_prefab	NationEquipDlg
NotifyDlg	Assets/PackAssets/UI_Prefab/NotifyDlg.prefab	ui_prefab	NotifyDlg
NoticeDlg	Assets/PackAssets/UI_Prefab/NoticeDlg.prefab	ui_prefab	NoticeDlg
NationDlg	Assets/PackAssets/UI_Prefab/NationDlg.prefab	ui_prefab	NationDlg
NationUpgradeDlg	Assets/PackAssets/UI_Prefab/NationUpgradeDlg.prefab	ui_prefab	NationUpgradeDlg
NationPlaceDlg	Assets/PackAssets/UI_Prefab/NationPlaceDlg.prefab	ui_prefab	NationPlaceDlg
NationTownDlg	Assets/PackAssets/UI_Prefab/NationTownDlg.prefab	ui_prefab	NationTownDlg
NationWarDlg	Assets/PackAssets/UI_Prefab/NationWarDlg.prefab	ui_prefab	NationWarDlg
NationQuestDlg	Assets/PackAssets/UI_Prefab/NationQuestDlg.prefab	ui_prefab	NationQuestDlg
NationHeroDlg	Assets/PackAssets/UI_Prefab/NationHeroDlg.prefab	ui_prefab	NationHeroDlg
NationHeroGetDlg	Assets/PackAssets/UI_Prefab/NationHeroGetDlg.prefab	ui_prefab	NationHeroGetDlg
NationHeroCallDlg	Assets/PackAssets/UI_Prefab/NationHeroCallDlg.prefab	ui_prefab	NationHeroCallDlg
NationHonorDlg	Assets/PackAssets/UI_Prefab/NationHonorDlg.prefab	ui_prefab	NationHonorDlg
NationOfficialDlg	Assets/PackAssets/UI_Prefab/NationOfficialDlg.prefab	ui_prefab	NationOfficialDlg
NationOfficialReplaceDlg	Assets/PackAssets/UI_Prefab/NationOfficialReplaceDlg.prefab	ui_prefab	NationOfficialReplaceDlg
NationLogDlg	Assets/PackAssets/UI_Prefab/NationLogDlg.prefab	ui_prefab	NationLogDlg
OfficialHireDlg	Assets/PackAssets/UI_Prefab/OfficialHireDlg.prefab	ui_prefab	OfficialHireDlg
QuestAwardDlg	Assets/PackAssets/UI_Prefab/QuestAwardDlg.prefab	ui_prefab	QuestAwardDlg
QuesAwardBranchDlg	Assets/PackAssets/UI_Prefab/QuesAwardBranchDlg.prefab	ui_prefab	QuesAwardBranchDlg
QuestDlg	Assets/PackAssets/UI_Prefab/QuestDlg.prefab	ui_prefab	QuestDlg
QuickItemDlg	Assets/PackAssets/UI_Prefab/QuickItemDlg.prefab	ui_prefab	QuickItemDlg
RollingMsgDlg	Assets/PackAssets/UI_Prefab/RollingMsgDlg.prefab	ui_prefab	RollingMsgDlg
ResDrawingDlg	Assets/PackAssets/UI_Prefab/ResDrawingDlg.prefab	ui_prefab	ResDrawingDlg
RankListDlg	Assets/PackAssets/UI_Prefab/RankListDlg.prefab	ui_prefab	RankListDlg
TrainDlg	Assets/PackAssets/UI_Prefab/TrainDlg.prefab	ui_prefab	TrainDlg
TownRebuildDlg	Assets/PackAssets/UI_Prefab/TownRebuildDlg.prefab	ui_prefab	TownRebuildDlg
TownChangeNameDlg	Assets/PackAssets/UI_Prefab/TownChangeNameDlg.prefab	ui_prefab	TownChangeNameDlg
TreasureDlg	Assets/PackAssets/UI_Prefab/TreasureDlg.prefab	ui_prefab	TreasureDlg
TreasureAwardDlg	Assets/PackAssets/UI_Prefab/TreasureAwardDlg.prefab	ui_prefab	TreasureAwardDlg
PlayerDlg	Assets/PackAssets/UI_Prefab/PlayerDlg.prefab	ui_prefab	PlayerDlg
PopNotifyDlg	Assets/PackAssets/UI_Prefab/PopNotifyDlg.prefab	ui_prefab	PopNotifyDlg
PayDlg	Assets/PackAssets/UI_Prefab/PayDlg.prefab	ui_prefab	PayDlg
VipDlg	Assets/PackAssets/UI_Prefab/VipDlg.prefab	ui_prefab	VipDlg
WishingDlg	Assets/PackAssets/UI_Prefab/WishingDlg.prefab	ui_prefab	WishingDlg
WorldQuestInfoDlg	Assets/PackAssets/UI_Prefab/WorldQuestInfoDlg.prefab	ui_prefab	WorldQuestInfoDlg
WorldBossDlg	Assets/PackAssets/UI_Prefab/WorldBossDlg.prefab	ui_prefab	WorldBossDlg
ShopDlg	Assets/PackAssets/UI_Prefab/ShopDlg.prefab	ui_prefab	ShopDlg
StoreDlg	Assets/PackAssets/UI_Prefab/StoreDlg.prefab	ui_prefab	StoreDlg
StoryDlg	Assets/PackAssets/UI_Prefab/StoryDlg.prefab	ui_prefab	StoryDlg
StoryHeroDlg	Assets/PackAssets/UI_Prefab/StoryHeroDlg.prefab	ui_prefab	StoryHeroDlg
StorySweepDlg	Assets/PackAssets/UI_Prefab/StorySweepDlg.prefab	ui_prefab	StorySweepDlg
SettingDlg	Assets/PackAssets/UI_Prefab/SettingDlg.prefab	ui_prefab	SettingDlg
Activity1Mod	Assets/PackAssets/UI_Prefab/UIMod/Activity1Mod.prefab	ui_prefab	Activity1Mod
Activity2Mod	Assets/PackAssets/UI_Prefab/UIMod/Activity2Mod.prefab	ui_prefab	Activity2Mod
Activity3Mod	Assets/PackAssets/UI_Prefab/UIMod/Activity3Mod.prefab	ui_prefab	Activity3Mod
Activity4Mod	Assets/PackAssets/UI_Prefab/UIMod/Activity4Mod.prefab	ui_prefab	Activity4Mod
Activity5Mod	Assets/PackAssets/UI_Prefab/UIMod/Activity5Mod.prefab	ui_prefab	Activity5Mod
Activity6Mod	Assets/PackAssets/UI_Prefab/UIMod/Activity6Mod.prefab	ui_prefab	Activity6Mod
Activity8Mod	Assets/PackAssets/UI_Prefab/UIMod/Activity8Mod.prefab	ui_prefab	Activity8Mod
Activity10Mod	Assets/PackAssets/UI_Prefab/UIMod/Activity10Mod.prefab	ui_prefab	Activity10Mod
Activity11Mod	Assets/PackAssets/UI_Prefab/UIMod/Activity11Mod.prefab	ui_prefab	Activity11Mod
UIF_Damage	Assets/PackAssets/UI_Prefab/UIFX/UIF_Damage.prefab	ui_prefab	UIF_Damage
UIF_PopText	Assets/PackAssets/UI_Prefab/UIFX/UIF_PopText.prefab	ui_prefab	UIF_PopText
UIF_Notify	Assets/PackAssets/UI_Prefab/UIFX/UIF_Notify.prefab	ui_prefab	UIF_Notify
UIF_MapZoneTips	Assets/PackAssets/UI_Prefab/UIFX/UIF_MapZoneTips.prefab	ui_prefab	UIF_MapZoneTips
TmxMap	Assets/PackAssets/Tiled2Unity/Prefabs/worldmap.prefab	tiled2unity_prefabs	worldmap
WorldMapRoot	Assets/PackAssets/MapPrefab/WorldMapRoot.prefab	ab_mapprefab	WorldMapRoot
MapUnitCity	Assets/PackAssets/MapPrefab/MapUnitCity.prefab	ab_mapprefab	MapUnitCity
MapUnitTown	Assets/PackAssets/MapPrefab/MapUnitTown.prefab	ab_mapprefab	MapUnitTown
MapUnitArmy	Assets/PackAssets/MapPrefab/MapUnitArmy.prefab	ab_mapprefab	MapUnitArmy
MapUnitEnemy	Assets/PackAssets/MapPrefab/MapUnitEnemy.prefab	ab_mapprefab	MapUnitEnemy
MapUnitRes	Assets/PackAssets/MapPrefab/MapUnitRes.prefab	ab_mapprefab	MapUnitRes
MapUnitEvent	Assets/PackAssets/MapPrefab/MapUnitEvent.prefab	ab_mapprefab	MapUnitEvent
MapUnitNationHero	Assets/PackAssets/MapPrefab/MapUnitNationHero.prefab	ab_mapprefab	MapUnitNationHero
MapBorder	Assets/PackAssets/MapPrefab/MapBorder.prefab	ab_mapprefab	MapBorder
MapTownRange	Assets/PackAssets/MapPrefab/MapTownRange.prefab	ab_mapprefab	MapTownRange
MarchRoute	Assets/PackAssets/MapPrefab/MarchRoute.prefab	ab_mapprefab	MarchRoute
MapForest1	Assets/PackAssets/MapPrefab/MapForest1.prefab	ab_mapprefab	MapForest1
MapForest2	Assets/PackAssets/MapPrefab/MapForest2.prefab	ab_mapprefab	MapForest2
MapForest3	Assets/PackAssets/MapPrefab/MapForest3.prefab	ab_mapprefab	MapForest3
MapForest4	Assets/PackAssets/MapPrefab/MapForest4.prefab	ab_mapprefab	MapForest4
MapForest5	Assets/PackAssets/MapPrefab/MapForest5.prefab	ab_mapprefab	MapForest5
MapForest6	Assets/PackAssets/MapPrefab/MapForest6.prefab	ab_mapprefab	MapForest6
MapSkyBirds1	Assets/PackAssets/MapPrefab/MapSkyBirds1.prefab	ab_mapprefab	MapSkyBirds1
MapSkyBirds2	Assets/PackAssets/MapPrefab/MapSkyBirds2.prefab	ab_mapprefab	MapSkyBirds2
MapSkyFog1	Assets/PackAssets/MapPrefab/MapSkyFog1.prefab	ab_mapprefab	MapSkyFog1
MapSkyFog2	Assets/PackAssets/MapPrefab/MapSkyFog2.prefab	ab_mapprefab	MapSkyFog2
WorldMapThumb	Assets/PackAssets/MapPrefab/WorldMapThumb.prefab	ab_mapprefab	WorldMapThumb
ThumbDisplayMy	Assets/PackAssets/MapPrefab/ThumbDisplayMy.prefab	ab_mapprefab	ThumbDisplayMy
ThumbDisplayCity	Assets/PackAssets/MapPrefab/ThumbDisplayCity.prefab	ab_mapprefab	ThumbDisplayCity
ThumbDisplayTown	Assets/PackAssets/MapPrefab/ThumbDisplayTown.prefab	ab_mapprefab	ThumbDisplayTown
ThumbClickEffect	Assets/PackAssets/MapPrefab/ThumbClickEffect.prefab	ab_mapprefab	ThumbClickEffect
Character	Assets/PackAssets/Character/Char_Res/Character.prefab	char_res	Character
FightScene	Assets/PackAssets/FightPrefab/FightScene.prefab	_ab_fight	FightScene
Tysj	Assets/PackAssets/Effect/Tysj/Tysj.prefab	ab_effect	Tysj
Jn1	Assets/PackAssets/Effect/Jn1/Jn1.prefab	ab_effect	Jn1
Jn2	Assets/PackAssets/Effect/Jn2/Jn2.prefab	ab_effect	Jn2
Jn3	Assets/PackAssets/Effect/Jn3/Jn3.prefab	ab_effect	Jn3
Djjt	Assets/PackAssets/Effect/Djjt/Djjt.prefab	ab_effect	Djjt
Zdtb	Assets/PackAssets/Effect/Zdtb/Zdtb.prefab	ab_effect	Zdtb
Tbcx	Assets/PackAssets/Effect/Tbcx/Tbcx.prefab	ab_effect	Tbcx
Czdz	Assets/PackAssets/Effect/Czdz/Czdz.prefab	ab_effect	Czdz
Jssj	Assets/PackAssets/Effect/Jssj/Jssj.prefab	ab_effect	Jssj
Jzsj	Assets/PackAssets/Effect/Jzsj/Jzsj.prefab	ab_effect	Jzsj
szsj	Assets/PackAssets/Effect/Szsj/szsj.prefab	ab_effect	szsj
Fxzq	Assets/PackAssets/Effect/Fxzq/Fxzq.prefab	ab_effect	Fxzq
Bbzq	Assets/PackAssets/Effect/Bbzq/Bbzq.prefab	ab_effect	Bbzq
Fxtx2	Assets/PackAssets/Effect/Fxtx2/Fxtx2.prefab	ab_effect	Fxtx2
Sleep	Assets/PackAssets/Effect/Sleep/Sleep.prefab	ab_effect	Sleep


